NAME_CHN,adcode,level,x,y
龙胜各族自治县,450328,district,110.009,25.796
通川区,511702,district,107.501,31.213
灌阳县,450327,district,111.16,25.489
平乐县,450330,district,110.642,24.632
资源县,450329,district,110.642,26.034
米林县,540422,district,94.213,29.213
恭城瑶族自治县,450332,district,110.829,24.833
工布江达县,540421,district,93.246,29.884
荔浦县,450331,district,110.4,24.497
嘉峪关市,620200,city,98.277,39.786
达川区,511703,district,107.507,31.199
通榆县,220822,district,123.088,44.809
镇赉县,220821,district,123.202,45.846
宣汉县,511722,district,107.722,31.355
阿克苏市,652901,district,80.262,41.171
大竹县,511724,district,107.207,30.736
红古区,620111,district,102.861,36.344
开江县,511723,district,107.864,31.085
渠县,511725,district,106.97,30.836
西固区,620104,district,103.622,36.1
七里河区,620103,district,103.784,36.066
安宁区,620105,district,103.724,36.103
昌江区,360202,district,117.195,29.288
珠山区,360203,district,117.214,29.292
东沙群岛,442100,city,116.887,20.617
阿瓦提县,652928,district,80.378,40.638
乌什县,652927,district,79.23,41.215
皋兰县,620122,district,103.949,36.331
柯坪县,652929,district,79.047,40.506
永登县,620121,district,103.262,36.734
榆中县,620123,district,104.114,35.844
色尼区,540602,district,92.061,31.475
浮梁县,360222,district,117.217,29.352
温宿县,652922,district,80.243,41.272
沙雅县,652924,district,82.78,41.226
南明区,520102,district,106.715,26.573
库车县,652923,district,82.963,41.717
恩阳区,511903,district,106.486,31.816
拜城县,652926,district,81.869,41.796
新和县,652925,district,82.61,41.551
桥西区,130703,district,114.882,40.824
乃东区,540502,district,91.765,29.236
下花园区,130706,district,115.281,40.488
乌当区,520112,district,106.762,26.63
宣化区,130705,district,115.063,40.609
花溪区,520111,district,106.67,26.41
万全区,130708,district,114.736,40.765
白云区,520113,district,106.633,26.676
象山区,450304,district,110.284,25.261
巴州区,511902,district,106.753,31.858
叠彩区,450303,district,110.3,25.301
崇礼区,130709,district,115.281,40.971
观山湖区,520115,district,106.626,26.646
七星区,450305,district,110.317,25.254
南江县,511922,district,106.843,32.353
云岩区,520103,district,106.713,26.583
通江县,511921,district,107.247,31.912
平昌县,511923,district,107.101,31.562
桥东区,130702,district,114.894,40.788
楚雄市,532301,district,101.546,25.04
张北县,130722,district,114.715,41.151
达日县,632624,district,99.651,33.753
双柏县,532322,district,101.638,24.685
秀峰区,450302,district,110.292,25.278
